rank,anime,studios
951,Haikyuu!! Riku vs. Kuu,Production I.G
325,Hunter x Hunter: Greed Island Final,Nippon Animation
617,Glass no Kamen (2005),Tokyo Movie Shinsha
545,Hidamari Sketch: Sae Hiro Sotsugyou-hen,Shaft
662,Kidou Senshi Gundam: Dai 08 MS Shoutai,Sunrise
726,Niehime to Kemono no Ou,J.C.Staff
130,Bakuman. 3rd Season,J.C.Staff
881,Higurashi no Naku Koro ni,Studio Deen
157,Chihayafuru 3,Madhouse
958,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Project No.9
43,Shingeki no Kyojin: The Final Season Part 2,MAPPA
533,Tsubasa: Shunraiki,Production I.G
483,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",C2C
751,Sakasama no Patema,Studio Rikka
751,Sakasama no Patema,Purple Cow Studio Japan
69,Violet Evergarden,Kyoto Animation
603,Omoide no Marnie,Studio Ghibli
875,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Studio 4°C
416,Major S2,Studio Hibari
525,Durarara!!,Brain's Base
437,Holo no Graffiti,Hololive Production
444,Higurashi no Naku Koro ni Kai,Studio Deen
592,Angel Beats!,P.A. Works
604,Paprika,Madhouse
278,Kingdom 2nd Season,Pierrot
321,Hajime no Ippo: Champion Road,Madhouse
79,Haikyuu!! Movie: Gomisuteba no Kessen,Production I.G
469,Death Parade,Madhouse
737,Yi Nian Yong Heng,B.CMAY PICTURES
475,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,Sunrise
183,Saenai Heroine no Sodatekata Fine,CloverWorks
597,Haikyuu!! Movie 1: Owari to Hajimari,Production I.G
170,Grand Blue,Zero-G
572,Kamisama Hajimemashita OVA,TMS Entertainment
787,Eyeshield 21,Gallop
863,Jigoku Shoujo Futakomori,Studio Deen
935,Musekinin Kanchou Tylor,Tatsunoko Production
190,Shingeki no Kyojin: Kuinaki Sentaku,Wit Studio
877,Boku no Hero Academia 4th Season,Bones
890,High?Speed! Movie: Free! Starting Days,Kyoto Animation
327,Kuroshitsuji Movie: Book of the Atlantic,A-1 Pictures
0,Shelter (Music),A-1 Pictures
961,Tiger & Bunny,Sunrise
771,Nekomonogatari: Kuro,Shaft
627,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,Studio Deen
678,Hanada Shounen-shi,Madhouse
317,Tanoshii Muumin Ikka,Telescreen
479,Nodame Cantabile: Paris-hen,J.C.Staff
135,Shoujo?Kageki Revue Starlight Movie,Kinema Citrus
704,Rising Impact Season 2,Lay-duce
552,Karasu wa Aruji wo Erabanai,Pierrot
86,Bungou Stray Dogs 5th Season,Bones
333,Sennen Joyuu,Madhouse
648,Summer Wars,Madhouse
326,Kono Subarashii Sekai ni Shukufuku wo! 2,Studio Deen
931,"Komi-san wa, Comyushou desu.",OLM
638,Hibike! Euphonium,Kyoto Animation
576,Kyou kara Ore wa!!,Pierrot
893,Kengan Ashura Season 2 Part 2,Larx Entertainment
982,Hug tto! Precure,Toei Animation
413,Haikyuu!! Movie 3: Sainou to Sense,Production I.G
670,Aria the OVA: Arietta,HAL Film Maker
25,Monster,Madhouse
167,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,David Production
397,Dragon Ball Z,Toei Animation
808,Tsue to Tsurugi no Wistoria,Actas
808,Tsue to Tsurugi no Wistoria,Bandai Namco Pictures
783,Aishang Ta de Liyou Extra,Red Dog Culture House
274,Evangelion Movie 2: Ha,Khara
443,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,ufotable
925,Machikado Mazoku: 2-choume,J.C.Staff
733,Tekkon Kinkreet,Studio 4°C
468,Black Clover,Pierrot
738,Boku no Hero Academia the Movie 2: Heroes:Rising,Bones
338,Gyakkyou Burai Kaiji: Hakairoku-hen,Madhouse
367,SKET Dance,Tatsunoko Production
238,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Kyoto Animation
720,Gake no Ue no Ponyo,Studio Ghibli
115,Perfect Blue,Madhouse
166,Zoku Owarimonogatari,Shaft
506,Fullmetal Alchemist,Bones
203,Vivy: Fluorite Eye's Song,Wit Studio
595,Dorohedoro,MAPPA
983,Id:Invaded,NAZ
415,Initial D Second Stage,Pastel
664,Naruto,Pierrot
623,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,TMS Entertainment
159,Mo Dao Zu Shi,B.CMAY PICTURES
350,Youjo Senki Movie,Nut
750,Noragami,Bones
653,Baby Steps 2nd Season,Pierrot
634,Zhan Shen: Fanchen Shenyu,Shenman Entertainment
497,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Seven Arcs
417,Major S4,SynergySP
613,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,SANZIGEN
194,Kamisama Hajimemashita: Kako-hen,TMS Entertainment
141,Ousama Ranking,Wit Studio
936,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Toei Animation
913,Tennis no Oujisama,Trans Arts
957,Nige Jouzu no Wakagimi,CloverWorks
187,Hunter x Hunter,Nippon Animation
435,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Production I.G
724,Major Movie: Yuujou no Winning Shot,Xebec
528,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,Ajia-do
757,Osomatsu-san,Pierrot
577,Mahoutsukai no Yome,Wit Studio
649,Toaru Kagaku no Railgun S,J.C.Staff
639,Given Movie 2: Hiiragi Mix,Lerche
51,Kimetsu no Yaiba: Yuukaku-hen,ufotable
538,Fumetsu no Anata e Season 2,Drive
907,Wu Dong Qian Kun 3rd Season,DC Impression Vision
422,Little Busters! Refrain,J.C.Staff
453,Shinigami Bocchan to Kuro Maid 3rd Season,J.C.Staff
534,Tsukimonogatari,Shaft
424,Meitantei Conan,TMS Entertainment
330,Stranger: Mukou Hadan,Bones
503,Stand By Me Doraemon,Shirogumi
503,Stand By Me Doraemon,Shin-Ei Animation
249,Kiseijuu: Sei no Kakuritsu,Madhouse
749,Non Non Biyori,SILVER LINK.
409,Ballroom e Youkoso,Production I.G
585,Meitantei Conan Movie 25: Halloween no Hanayome,TMS Entertainment
799,Kaleido Star,Gonzo
383,Meitantei Conan Movie 13: Shikkoku no Chaser,Tokyo Movie Shinsha
383,Meitantei Conan Movie 13: Shikkoku no Chaser,TMS Entertainment
376,Major S1,Studio Hibari
96,Dungeon Meshi,Trigger
794,"Natsu e no Tunnel, Sayonara no Deguchi",CLAP
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Sunrise
229,Hellsing Ultimate,Madhouse
229,Hellsing Ultimate,Satelight
229,Hellsing Ultimate,Graphinica
531,Kuroko no Basket: Saikou no Present desu,Production I.G
65,Code Geass: Hangyaku no Lelouch,Sunrise
661,Kidou Keisatsu Patlabor 2 the Movie,Production I.G
377,Major S3,Studio Hibari
792,Kokoro Connect: Michi Random,SILVER LINK.
263,Natsume Yuujinchou Go Specials,Shuka
641,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,ufotable
686,Wolf's Rain OVA,Bones
205,Kaze ga Tsuyoku Fuiteiru,Production I.G
332,World Trigger 3rd Season,Toei Animation
812,BanG Dream! Movie: Poppin' Dream!,SANZIGEN
536,Zankyou no Terror,MAPPA
463,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Kyoto Animation
37,Shingeki no Kyojin: The Final Season,MAPPA
615,Dennou Coil,Madhouse
315,Space?Dandy 2nd Season,Bones
624,Meitantei Conan Movie 10: Tantei-tachi no Requiem,TMS Entertainment
264,NHK ni Youkoso!,Gonzo
430,Black Lagoon: The Second Barrage,Madhouse
932,Liang Bu Yi 2nd Season,Paper Plane Animation Studio
379,Sasaki to Miyano,Studio Deen
208,Cowboy Bebop: Tengoku no Tobira,Bones
861,Osomatsu-san Movie,Pierrot
122,Steins;Gate 0,White Fox
674,Hachimitsu to Clover,J.C.Staff
593,Darker than Black: Kuro no Keiyakusha,Bones
927,Oniisama e...,Tezuka Productions
313,Ore dake Level Up na Ken,A-1 Pictures
682,Saint Seiya: The Lost Canvas - Meiou Shinwa,TMS Entertainment
607,Tunshi Xingkong,Sparkly Key Animation Studio
99,Suzumiya Haruhi no Shoushitsu,Kyoto Animation
323,Chi. Chikyuu no Undou ni Tsuite,Madhouse
456,Yi Nian Yong Heng: Chuan Cheng Pian,B.CMAY PICTURES
328,Planetes,Sunrise
537,Baccano! Specials,Brain's Base
768,Gochuumon wa Usagi desu ka? Bloom,Encourage Films
312,Naruto: Shippuuden,Pierrot
847,Yuzuki-san Chi no Yonkyoudai.,Shuka
356,Kamisama Hajimemashita?,TMS Entertainment
26,Owarimonogatari 2nd Season,Shaft
921,Hibike! Euphonium Movie 2: Todoketai Melody,Kyoto Animation
100,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,CloverWorks
646,SK?,Bones
821,Ie Naki Ko Remy,Nippon Animation
977,Enen no Shouboutai: Ni no Shou,David Production
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,White Fox
915,Top wo Nerae! Gunbuster,Gainax
825,Final Fantasy VII: Advent Children Complete,Square Enix Visual Works
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,David Production
177,Jujutsu Kaisen 0 Movie,MAPPA
273,Diamond no Ace: Second Season,Production I.G
273,Diamond no Ace: Second Season,Madhouse
477,Lupin III: Part 5,Telecom Animation Film
334,Boku no Kokoro no Yabai Yatsu,Shin-Ei Animation
666,Kami nomi zo Shiru Sekai: Megami-hen,Manglobe
681,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,Production I.G
955,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,Studio Deen
524,Detroit Metal City,Studio 4°C
242,IDOLiSH7 Third Beat! Part 2,TROYCA
962,Tokyo Revengers: Tenjiku-hen,LIDENFILMS
741,Hikaru no Go: Hokuto Hai e no Michi,Pierrot
909,Zan Sayonara Zetsubou Sensei,Shaft
7,Gintama: The Final,Bandai Namco Pictures
113,Ookami Kodomo no Ame to Yuki,Studio Chizu
87,"""Oshi no Ko"" 2nd Season",Doga Kobo
740,Fate/Grand Order: Zettai Majuu Sensen Babylonia,CloverWorks
340,Hajime no Ippo: Mashiba vs. Kimura,Madhouse
602,Mononoke Movie: Karakasa,EOTA
154,Summertime Render,OLM
