rank,anime,voice_actor
15,Gintama.,"Koyasu, Takehito"
15,Gintama.,"Kuwashima, Houko"
16,Fruits Basket: The Final,"Iwami, Manaka"
16,Fruits Basket: The Final,"Uchida, Yuuma"
16,Fruits Basket: The Final,"Shimazaki, Nobunaga"
17,Clannad: After Story,"Nakahara, Mai"
17,Clannad: After Story,"Koorogi, Satomi"
17,Clannad: After Story,"Nakamura, Yuuichi"
18,Gintama,"Kugimiya, Rie"
18,Gintama,"Sugita, Tomokazu"
18,Gintama,"Yaguchi, Asami"
18,Gintama,"Yonezawa, Madoka"
18,Gintama,"Sakaguchi, Daisuke"
19,Koe no Katachi,"Irino, Miyu"
19,Koe no Katachi,"Matsuoka, Mayu"
19,Koe no Katachi,"Hayami, Saori"
20,3-gatsu no Lion 2nd Season,"Kuno, Misaki"
20,3-gatsu no Lion 2nd Season,"Hanazawa, Kana"
20,3-gatsu no Lion 2nd Season,"Kayano, Ai"
20,3-gatsu no Lion 2nd Season,"Kawanishi, Kengo"
21,Code Geass: Hangyaku no Lelouch R2,Yukana
21,Code Geass: Hangyaku no Lelouch R2,"Sakurai, Takahiro"
21,Code Geass: Hangyaku no Lelouch R2,"Watanabe, Akeno"
21,Code Geass: Hangyaku no Lelouch R2,"Fukuyama, Jun"
21,Code Geass: Hangyaku no Lelouch R2,"Ohara, Sayaka"
21,Code Geass: Hangyaku no Lelouch R2,"Koshimizu, Ami"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Kugimiya, Rie"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Sugita, Tomokazu"
22,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Sakaguchi, Daisuke"
24,Kusuriya no Hitorigoto,"Ootsuka, Takeo"
24,Kusuriya no Hitorigoto,"Yuuki, Aoi"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Kugimiya, Rie"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Sugita, Tomokazu"
23,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,"Sakaguchi, Daisuke"
25,Monster,"Noto, Mamiko"
25,Monster,"Tsukada, Mai"
25,Monster,"Sasaki, Nozomu"
25,Monster,"Uemura, Yuuto"
25,Monster,"Kiuchi, Hidenobu"
25,Monster,"Ono, Miyuki"
28,Violet Evergarden Movie,"Namikawa, Daisuke"
28,Violet Evergarden Movie,"Ishikawa, Yui"
30,Kingdom 3rd Season,"Kugimiya, Rie"
30,Kingdom 3rd Season,"Hikasa, Youko"
30,Kingdom 3rd Season,"Morita, Masakazu"
30,Kingdom 3rd Season,"Fukuyama, Jun"
29,Kimi no Na wa.,"Kamishiraishi, Mone"
29,Kimi no Na wa.,"Kamiki, Ryunosuke"
32,Vinland Saga Season 2,"Takeuchi, Shunsuke"
32,Vinland Saga Season 2,"Uemura, Yuuto"
32,Vinland Saga Season 2,"Ishigami, Shizuka"
31,Gintama. Shirogane no Tamashii-hen,"Kugimiya, Rie"
31,Gintama. Shirogane no Tamashii-hen,"Sugita, Tomokazu"
31,Gintama. Shirogane no Tamashii-hen,"Sakaguchi, Daisuke"
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,"Takahashi, Rie"
34,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,"Kobayashi, Yuusuke"
33,Mob Psycho 100 II,"Ootsuka, Akio"
33,Mob Psycho 100 II,"Itou, Setsuo"
33,Mob Psycho 100 II,"Sakurai, Takahiro"
38,Boku no Kokoro no Yabai Yatsu 2nd Season,"Horie, Shun"
38,Boku no Kokoro no Yabai Yatsu 2nd Season,"Youmiya, Hina"
36,Kizumonogatari III: Reiketsu-hen,"Kamiya, Hiroshi"
36,Kizumonogatari III: Reiketsu-hen,"Horie, Yui"
36,Kizumonogatari III: Reiketsu-hen,"Sakamoto, Maaya"
37,Shingeki no Kyojin: The Final Season,"Ishikawa, Yui"
37,Shingeki no Kyojin: The Final Season,"Inoue, Marina"
37,Shingeki no Kyojin: The Final Season,"Kaji, Yuuki"
35,Jujutsu Kaisen 2nd Season,"Uchida, Yuuma"
35,Jujutsu Kaisen 2nd Season,"Fujiwara, Natsumi"
35,Jujutsu Kaisen 2nd Season,"Sakurai, Takahiro"
35,Jujutsu Kaisen 2nd Season,"Nakamura, Yuuichi"
35,Jujutsu Kaisen 2nd Season,"Ise, Mariya"
35,Jujutsu Kaisen 2nd Season,"Enoki, Junya"
35,Jujutsu Kaisen 2nd Season,"Seto, Asami"
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Murase, Ayumu"
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Ishikawa, Kaito"
39,Bocchi the Rock!,"Aoyama, Yoshino"
39,Bocchi the Rock!,"Suzushiro, Sayumi"
39,Bocchi the Rock!,"Hasegawa, Ikumi"
39,Bocchi the Rock!,"Mizuno, Saku"
41,Hajime no Ippo,"Takagi, Wataru"
41,Hajime no Ippo,"Utsumi, Kenji"
41,Hajime no Ippo,"Fujiwara, Keiji"
41,Hajime no Ippo,"Kiyasu, Kouhei"
41,Hajime no Ippo,"Koyama, Rikiya"
42,Sen to Chihiro no Kamikakushi,"Irino, Miyu"
42,Sen to Chihiro no Kamikakushi,"Hiiragi, Rumi"
45,Monogatari Series: Second Season,"Kamiya, Hiroshi"
45,Monogatari Series: Second Season,"Katou, Emiri"
45,Monogatari Series: Second Season,"Horie, Yui"
45,Monogatari Series: Second Season,"Miki, Shinichiro"
45,Monogatari Series: Second Season,"Sakamoto, Maaya"
45,Monogatari Series: Second Season,"Hanazawa, Kana"
45,Monogatari Series: Second Season,"Saitou, Chiwa"
44,Vinland Saga,"Uchida, Naoya"
44,Vinland Saga,"Kobayashi, Chiaki"
44,Vinland Saga,"Kawase, Maki"
44,Vinland Saga,"Ono, Kensho"
44,Vinland Saga,"Uemura, Yuuto"
44,Vinland Saga,"Ishigami, Shizuka"
43,Shingeki no Kyojin: The Final Season Part 2,"Ishikawa, Yui"
43,Shingeki no Kyojin: The Final Season Part 2,"Inoue, Marina"
43,Shingeki no Kyojin: The Final Season Part 2,"Kaji, Yuuki"
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Koga, Aoi"
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,"Furukawa, Makoto"
47,Cowboy Bebop,"Ishizuka, Unshou"
47,Cowboy Bebop,"Yamadera, Kouichi"
47,Cowboy Bebop,"Hayashibara, Megumi"
47,Cowboy Bebop,"Tada, Aoi"
48,The First Slam Dunk,"Miyake, Kenta"
48,The First Slam Dunk,"Kasama, Jun"
48,The First Slam Dunk,"Nakamura, Shuugo"
48,The First Slam Dunk,"Kamio, Shinichirou"
48,The First Slam Dunk,"Kimura, Subaru"
53,Look Back,"Kawai, Yuumi"
53,Look Back,"Yoshida, Mizuki"
52,Kingdom 5th Season,"Kugimiya, Rie"
52,Kingdom 5th Season,"Hikasa, Youko"
52,Kingdom 5th Season,"Morita, Masakazu"
52,Kingdom 5th Season,"Fukuyama, Jun"
54,Ashita no Joe 2,"Tanaka, Emi"
54,Ashita no Joe 2,"Fujioka, Juukei"
54,Ashita no Joe 2,"Aoi, Teruhiko"
52,Kingdom 4th Season,"Kugimiya, Rie"
52,Kingdom 4th Season,"Hikasa, Youko"
52,Kingdom 4th Season,"Morita, Masakazu"
52,Kingdom 4th Season,"Fukuyama, Jun"
52,Kingdom 4th Season,"Kanada, Aki"
51,Kimetsu no Yaiba: Yuukaku-hen,"Shimono, Hiro"
51,Kimetsu no Yaiba: Yuukaku-hen,"Matsuoka, Yoshitsugu"
51,Kimetsu no Yaiba: Yuukaku-hen,"Hanae, Natsuki"
51,Kimetsu no Yaiba: Yuukaku-hen,"Kitou, Akari"
51,Kimetsu no Yaiba: Yuukaku-hen,"Konishi, Katsuyuki"
58,Hibike! Euphonium 3,"Anzai, Chika"
58,Hibike! Euphonium 3,"Kurosawa, Tomoyo"
56,Mushishi Zoku Shou 2nd Season,"Nakano, Yuto"
56,Mushishi Zoku Shou 2nd Season,"Sawashiro, Miyuki"
57,One Piece,Cho
57,One Piece,"Yao, Kazuki"
57,One Piece,"Noda, Junko"
57,One Piece,"Gouri, Daisuke"
57,One Piece,"Houki, Katsuhisa"
57,One Piece,"Sakamoto, Chika"
57,One Piece,"Tanaka, Mayumi"
57,One Piece,"Okamura, Akemi"
57,One Piece,"Yamazaki, Wakana"
57,One Piece,"Yamaguchi, Yuriko"
57,One Piece,"Kobayashi, Yuko"
57,One Piece,"Nagai, Anzu"
57,One Piece,"Yamane, Aya"
57,One Piece,"Nakai, Kazuya"
57,One Piece,"Urawa, Megumi"
57,One Piece,"Hirata, Hiroaki"
57,One Piece,"Ootani, Ikue"
57,One Piece,"Ootani, Ikue"
57,One Piece,"Ikura, Kazue"
57,One Piece,"Yamaguchi, Kappei"
60,Dandadan,"Wakayama, Shion"
60,Dandadan,"Hanae, Natsuki"
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Seki, Tomokazu"
61,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Ishida, Akira"
62,Mob Psycho 100 III,"Ootsuka, Akio"
62,Mob Psycho 100 III,"Irino, Miyu"
62,Mob Psycho 100 III,"Itou, Setsuo"
62,Mob Psycho 100 III,"Sakurai, Takahiro"
59,86 Part 2,"Hasegawa, Ikumi"
59,86 Part 2,"Chiba, Shouya"
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"Sugiyama, Noriaki"
64,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"Morita, Masakazu"
65,Code Geass: Hangyaku no Lelouch,Yukana
65,Code Geass: Hangyaku no Lelouch,"Sakurai, Takahiro"
65,Code Geass: Hangyaku no Lelouch,"Watanabe, Akeno"
65,Code Geass: Hangyaku no Lelouch,"Fukuyama, Jun"
65,Code Geass: Hangyaku no Lelouch,"Ohara, Sayaka"
65,Code Geass: Hangyaku no Lelouch,"Koshimizu, Ami"
66,Mushishi Zoku Shou,"Nakano, Yuto"
69,Violet Evergarden,"Ishikawa, Yui"
68,Great Teacher Onizuka,"Noda, Junko"
68,Great Teacher Onizuka,"Orikasa, Fumiko"
68,Great Teacher Onizuka,"Mitsuishi, Kotono"
68,Great Teacher Onizuka,"Midorikawa, Hikaru"
68,Great Teacher Onizuka,"Seki, Tomokazu"
68,Great Teacher Onizuka,"Kawasumi, Ayako"
68,Great Teacher Onizuka,"Takagi, Wataru"
68,Great Teacher Onizuka,Cho
68,Great Teacher Onizuka,"Okano, Kousuke"
70,Hajime no Ippo: New Challenger,"Takagi, Wataru"
70,Hajime no Ippo: New Challenger,"Namikawa, Daisuke"
70,Hajime no Ippo: New Challenger,"Utsumi, Kenji"
70,Hajime no Ippo: New Challenger,"Fujiwara, Keiji"
70,Hajime no Ippo: New Challenger,"Kiyasu, Kouhei"
70,Hajime no Ippo: New Challenger,"Koyama, Rikiya"
71,Howl no Ugoku Shiro,"Baishou, Chieko"
71,Howl no Ugoku Shiro,"Kimura, Takuya"
73,Natsume Yuujinchou Shichi,"Inoue, Kazuhiko"
73,Natsume Yuujinchou Shichi,"Kamiya, Hiroshi"
72,Mononoke Hime,"Matsuda, Youji"
72,Mononoke Hime,"Ishida, Yuriko"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Sugiyama, Noriaki"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Nakata, Jouji"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Shitaya, Noriko"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Asakawa, Yuu"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Ueda, Kana"
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Kadowaki, Mai"
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Uchiyama, Yumi"
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Sugita, Tomokazu"
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Kakuma, Ai"
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Namikawa, Daisuke"
78,Odd Taxi,"Hanae, Natsuki"
76,Mushishi,"Nakano, Yuto"
76,Mushishi,"Sawashiro, Miyuki"
82,Haikyuu!! Movie: Gomisuteba no Kessen,"Murase, Ayumu"
82,Haikyuu!! Movie: Gomisuteba no Kessen,"Ishikawa, Kaito"
82,Haikyuu!! Movie: Gomisuteba no Kessen,"Kaji, Yuuki"
82,Haikyuu!! Movie: Gomisuteba no Kessen,"Nakamura, Yuuichi"
82,Haikyuu!! Movie: Gomisuteba no Kessen,"Komatsu, Yuka"
80,Made in Abyss,"Ise, Mariya"
80,Made in Abyss,"Tomita, Miyu"
81,Natsume Yuujinchou Shi,"Inoue, Kazuhiko"
81,Natsume Yuujinchou Shi,"Kobayashi, Sanae"
81,Natsume Yuujinchou Shi,"Kamiya, Hiroshi"
81,Natsume Yuujinchou Shi,"Fujimura, Ayumi"
81,Shigatsu wa Kimi no Uso,"Hanae, Natsuki"
81,Shigatsu wa Kimi no Uso,"Taneda, Risa"
81,Shigatsu wa Kimi no Uso,"Sakura, Ayane"
81,Shigatsu wa Kimi no Uso,"Oosaka, Ryouta"
83,Bungou Stray Dogs 5th Season,"Miyano, Mamoru"
83,Bungou Stray Dogs 5th Season,"Uemura, Yuuto"
86,Tengen Toppa Gurren Lagann,"Konishi, Katsuyuki"
86,Tengen Toppa Gurren Lagann,"Inoue, Marina"
86,Tengen Toppa Gurren Lagann,"Kakihara, Tetsuya"
86,Tengen Toppa Gurren Lagann,"Sugou, Takayuki"
86,Tengen Toppa Gurren Lagann,"Fukui, Yukari"
85,Shingeki no Kyojin Season 3,"Ishikawa, Yui"
85,Shingeki no Kyojin Season 3,"Inoue, Marina"
85,Shingeki no Kyojin Season 3,"Mikami, Shiori"
85,Shingeki no Kyojin Season 3,"Kamiya, Hiroshi"
85,Shingeki no Kyojin Season 3,"Kaji, Yuuki"
90,"""Oshi no Ko"" 2nd Season","Han, Megumi"
90,"""Oshi no Ko"" 2nd Season","Ootsuka, Takeo"
90,"""Oshi no Ko"" 2nd Season","Uchiyama, Yumi"
90,"""Oshi no Ko"" 2nd Season","Iwami, Manaka"
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Kohara, Konomi"
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Tomita, Miyu"
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Suzuki, Ryouta"
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Koga, Aoi"
90,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Furukawa, Makoto"
89,Ping Pong the Animation,"Katayama, Fukujuurou"
89,Ping Pong the Animation,"Nishida, Mitsutaka"
89,Ping Pong the Animation,"Uchiyama, Kouki"
89,Ping Pong the Animation,"Satomura, Hiroshi"
88,Death Note,"Yamaguchi, Kappei"
88,Death Note,"Nakamura, Shidou"
88,Death Note,"Miyano, Mamoru"
92,Haikyuu!! Second Season,"Murase, Ayumu"
92,Haikyuu!! Second Season,"Ishikawa, Kaito"
91,Made in Abyss: Retsujitsu no Ougonkyou,"Izawa, Shiori"
91,Made in Abyss: Retsujitsu no Ougonkyou,"Ise, Mariya"
91,Made in Abyss: Retsujitsu no Ougonkyou,"Tomita, Miyu"
96,Dungeon Meshi,"Senbongi, Sayaka"
96,Dungeon Meshi,"Naka, Hiroshi"
96,Dungeon Meshi,"Ookuma, Kenta"
96,Dungeon Meshi,"Tomari, Asuna"
96,Dungeon Meshi,"Kumagai, Kentarou"
96,Dungeon Meshi,"Yorita, Natsu"
94,Natsume Yuujinchou Roku,"Inoue, Kazuhiko"
94,Natsume Yuujinchou Roku,"Kamiya, Hiroshi"
94,Natsume Yuujinchou Roku,"Fujimura, Ayumi"
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Izawa, Shiori"
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Ise, Mariya"
95,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Tomita, Miyu"
97,"""Oshi no Ko""","Han, Megumi"
97,"""Oshi no Ko""","Takahashi, Rie"
97,"""Oshi no Ko""","Igoma, Yurie"
97,"""Oshi no Ko""","Ootsuka, Takeo"
97,"""Oshi no Ko""","Uchiyama, Yumi"
99,Suzumiya Haruhi no Shoushitsu,"Sugita, Tomokazu"
99,Suzumiya Haruhi no Shoushitsu,"Chihara, Minori"
98,Hajime no Ippo: Rising,"Takagi, Wataru"
98,Hajime no Ippo: Rising,"Namikawa, Daisuke"
98,Hajime no Ippo: Rising,"Miyano, Mamoru"
98,Hajime no Ippo: Rising,"Iizuka, Shouzou"
98,Hajime no Ippo: Rising,"Fujiwara, Keiji"
98,Hajime no Ippo: Rising,"Kiyasu, Kouhei"
98,Hajime no Ippo: Rising,"Kokuryu, Sachi"
98,Hajime no Ippo: Rising,"Koyama, Rikiya"
102,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"Kakihara, Tetsuya"
102,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"Fukui, Yukari"
101,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Ishikawa, Kaito"
101,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Minase, Inori"
101,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"Seto, Asami"
101,Shin Evangelion Movie:||,"Hayashibara, Megumi"
101,Shin Evangelion Movie:||,"Ogata, Megumi"
101,Shin Evangelion Movie:||,"Kamiki, Ryunosuke"
101,Shin Evangelion Movie:||,"Miyamura, Yuko"
103,Kenpuu Denki Berserk,"Miyamura, Yuko"
103,Kenpuu Denki Berserk,"Morikawa, Toshiyuki"
103,Kenpuu Denki Berserk,"Takayama, Minami"
103,Kenpuu Denki Berserk,"Canna, Nobutoshi"
103,Kenpuu Denki Berserk,"Fukushima, Orine"
103,Kenpuu Denki Berserk,"Miura, Tomoko"
104,Mushishi Zoku Shou: Suzu no Shizuku,"Nakano, Yuto"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Suwabe, Junichi"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Nakamura, Yuuichi"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Ishigami, Shizuka"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Konishi, Katsuyuki"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Saitou, Souma"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Enoki, Junya"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Yamashita, Daiki"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Ono, Kensho"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Fujiwara, Natsumi"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Toriumi, Kousuke"
105,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Senbongi, Sayaka"
108,Natsume Yuujinchou San,"Inoue, Kazuhiko"
108,Natsume Yuujinchou San,"Kamiya, Hiroshi"
108,Natsume Yuujinchou San,"Fujimura, Ayumi"
106,Jujutsu Kaisen,"Uchida, Yuuma"
106,Jujutsu Kaisen,"Nakamura, Yuuichi"
106,Jujutsu Kaisen,"Enoki, Junya"
106,Jujutsu Kaisen,"Seto, Asami"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Shimono, Hiro"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Matsuoka, Yoshitsugu"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Hanae, Natsuki"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Kitou, Akari"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Hino, Satoshi"
107,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Ise, Mariya"
112,Natsume Yuujinchou Go,"Inoue, Kazuhiko"
112,Natsume Yuujinchou Go,"Kamiya, Hiroshi"
112,Natsume Yuujinchou Go,"Fujimura, Ayumi"
110,Kizumonogatari II: Nekketsu-hen,"Kamiya, Hiroshi"
110,Kizumonogatari II: Nekketsu-hen,"Horie, Yui"
110,Kizumonogatari II: Nekketsu-hen,"Sakamoto, Maaya"
113,Ookami Kodomo no Ame to Yuki,"Nishii, Yukito"
113,Ookami Kodomo no Ame to Yuki,"Kabe, Amon"
113,Ookami Kodomo no Ame to Yuki,"Miyazaki, Aoi"
113,Ookami Kodomo no Ame to Yuki,"Osawa, Takao"
113,Ookami Kodomo no Ame to Yuki,"Kuroki, Haru"
113,Ookami Kodomo no Ame to Yuki,"Oono, Momoka"
111,Nana,"Kawana, Midori"
111,Nana,"Park, Romi"
111,Nana,"Tsuchiya, Anna"
119,Shouwa Genroku Rakugo Shinjuu,"Yamadera, Kouichi"
119,Shouwa Genroku Rakugo Shinjuu,"Ishida, Akira"
119,Shouwa Genroku Rakugo Shinjuu,"Kobayashi, Sanae"
114,Kimi no Suizou wo Tabetai,"Takasugi, Mahiro"
114,Kimi no Suizou wo Tabetai,Lynn
117,Shingeki no Kyojin,"Ishikawa, Yui"
117,Shingeki no Kyojin,"Inoue, Marina"
117,Shingeki no Kyojin,"Kaji, Yuuki"
121,Yojouhan Shinwa Taikei,"Sakamoto, Maaya"
121,Yojouhan Shinwa Taikei,"Yoshino, Hiroyuki"
121,Yojouhan Shinwa Taikei,"Asanuma, Shintaro"
115,Perfect Blue,"Iwao, Junko"
120,Slam Dunk,"Yanada, Kiyoyuki"
120,Slam Dunk,"Ogata, Megumi"
120,Slam Dunk,"Okiayu, Ryoutarou"
120,Slam Dunk,"Shioya, Yoku"
120,Slam Dunk,"Midorikawa, Hikaru"
120,Slam Dunk,"Kusao, Takeshi"
116,Haikyuu!! To the Top Part 2,"Murase, Ayumu"
116,Haikyuu!! To the Top Part 2,"Ishikawa, Kaito"
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Hayashibara, Megumi"
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Ogata, Megumi"
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Mitsuishi, Kotono"
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Miyamura, Yuko"
122,Steins;Gate 0,"Tamura, Yukari"
122,Steins;Gate 0,"Seki, Tomokazu"
122,Steins;Gate 0,"Yahagi, Sayuri"
122,Steins;Gate 0,"Imai, Asami"
122,Steins;Gate 0,"Miyano, Mamoru"
122,Steins;Gate 0,"Hanazawa, Kana"
125,Fate/Zero 2nd Season,"Irino, Miyu"
125,Fate/Zero 2nd Season,"Koyama, Rikiya"
125,Fate/Zero 2nd Season,"Seki, Tomokazu"
125,Fate/Zero 2nd Season,"Nakata, Jouji"
125,Fate/Zero 2nd Season,"Kawasumi, Ayako"
125,Fate/Zero 2nd Season,"Ohara, Sayaka"
126,Fruits Basket 2nd Season,"Iwami, Manaka"
126,Fruits Basket 2nd Season,"Uchida, Yuuma"
126,Fruits Basket 2nd Season,"Tomari, Asuna"
126,Fruits Basket 2nd Season,"Shimazaki, Nobunaga"
127,Zoku Natsume Yuujinchou,"Inoue, Kazuhiko"
127,Zoku Natsume Yuujinchou,"Kobayashi, Sanae"
127,Zoku Natsume Yuujinchou,"Kamiya, Hiroshi"
127,Zoku Natsume Yuujinchou,"Fujimura, Ayumi"
134,Shingeki no Kyojin Season 2,"Ishikawa, Yui"
134,Shingeki no Kyojin Season 2,"Inoue, Marina"
134,Shingeki no Kyojin Season 2,"Kaji, Yuuki"
131,Gintama. Porori-hen,"Kugimiya, Rie"
131,Gintama. Porori-hen,"Sugita, Tomokazu"
131,Gintama. Porori-hen,"Sakaguchi, Daisuke"
131,Gintama Movie 1: Shinyaku Benizakura-hen,"Takamatsu, Shinji"
131,Gintama Movie 1: Shinyaku Benizakura-hen,"Kugimiya, Rie"
131,Gintama Movie 1: Shinyaku Benizakura-hen,"Ishida, Akira"
131,Gintama Movie 1: Shinyaku Benizakura-hen,"Sugita, Tomokazu"
131,Gintama Movie 1: Shinyaku Benizakura-hen,"Sakaguchi, Daisuke"
135,Shoujo☆Kageki Revue Starlight Movie,"Koyama, Momoyo"
135,Shoujo☆Kageki Revue Starlight Movie,"Koizumi, Moeka"
135,Shoujo☆Kageki Revue Starlight Movie,"Itou, Ayasa"
135,Shoujo☆Kageki Revue Starlight Movie,"Satou, Hinata"
135,Shoujo☆Kageki Revue Starlight Movie,"Ikuta, Teru"
135,Shoujo☆Kageki Revue Starlight Movie,"Mimori, Suzuko"
135,Shoujo☆Kageki Revue Starlight Movie,"Aiba, Aina"
135,Shoujo☆Kageki Revue Starlight Movie,"Tomita, Maho"
