source,target,type
35839,1696,undirected
35839,1779,undirected
35839,1784,undirected
4282,703,undirected
801,23,undirected
801,53,undirected
801,123,undirected
801,159,undirected
801,382,undirected
801,1003,undirected
801,3024,undirected
205,123,undirected
205,169,undirected
205,271,undirected
205,382,undirected
205,464,undirected
31933,415,undirected
40834,17,undirected
40834,53,undirected
40834,169,undirected
40834,1696,undirected
40834,1992,undirected
11981,17,undirected
11981,143,undirected
11981,166,undirected
11981,459,undirected
11981,797,undirected
32182,415,undirected
32182,460,undirected
32182,843,undirected
32182,1333,undirected
32182,1430,undirected
30276,16,undirected
30276,23,undirected
30276,104,undirected
30276,142,undirected
30276,1121,undirected
30276,1261,undirected
30276,1365,undirected
30276,1501,undirected
37779,17,undirected
37779,53,undirected
37779,169,undirected
37779,1365,undirected
37779,1901,undirected
12431,76,undirected
12431,643,undirected
30654,53,undirected
30654,101,undirected
30654,169,undirected
30654,315,undirected
30654,1284,undirected
30654,1365,undirected
30654,1412,undirected
3297,16,undirected
3297,108,undirected
3297,109,undirected
3297,1452,undirected
50265,16,undirected
50265,62,undirected
50265,1143,undirected
50265,1365,undirected
33049,17,undirected
33049,703,undirected
33049,1696,undirected
44511,1856,undirected
47194,62,undirected
47194,166,undirected
47194,963,undirected
47194,1211,undirected
47194,1365,undirected
47194,1390,undirected
47194,1992,undirected
10165,104,undirected
10165,113,undirected
10165,166,undirected
10165,211,undirected
10165,352,undirected
10165,460,undirected
10165,929,undirected
36649,17,undirected
36649,53,undirected
36649,166,undirected
36649,169,undirected
36649,1430,undirected
6114,29,undirected
6114,1003,undirected
392,127,undirected
392,169,undirected
37379,159,undirected
37379,1003,undirected
37379,1283,undirected
37379,1418,undirected
37379,2121,undirected
31181,17,undirected
11577,61,undirected
11577,108,undirected
11577,166,undirected
11577,238,undirected
11577,352,undirected
11577,963,undirected
11577,2896,undirected
38000,17,undirected
38000,719,undirected
38000,1365,undirected
57647,1587,undirected
55888,61,undirected
55888,1143,undirected
55888,1333,undirected
55888,1416,undirected
55888,1444,undirected
