source,target,type
48830,-867359006,undirected
48830,-1129514379,undirected
48830,180405641,undirected
48830,-2129712745,undirected
38524,-1155129170,undirected
38524,98075180,undirected
38524,-1607117304,undirected
38524,-2117075954,undirected
48896,1836996181,undirected
32843,-1509776773,undirected
32843,1383645770,undirected
32843,-83108849,undirected
32843,-56899984,undirected
32843,1985733302,undirected
32843,165866907,undirected
934,-600542303,undirected
934,1073282918,undirected
934,-1187308571,undirected
934,810388240,undirected
934,-2129712745,undirected
934,-2129712745,undirected
3907,-1710695926,undirected
3907,885558805,undirected
3907,-397737505,undirected
3907,237323193,undirected
21877,1615151859,undirected
21877,-1081270674,undirected
21877,600614576,undirected
48171,-2042855003,undirected
48171,-867359006,undirected
48171,1661525538,undirected
48171,-240687688,undirected
53126,1482206316,undirected
53126,-73746960,undirected
49889,430506558,undirected
49889,1110055572,undirected
49889,-179971860,undirected
49889,-726183131,undirected
42886,314006290,undirected
42886,-1731889107,undirected
42886,-448409145,undirected
4106,-503331395,undirected
4106,800393984,undirected
4106,1218537767,undirected
4106,-2129712745,undirected
4106,1532267122,undirected
4106,1938860046,undirected
35222,-2032752875,undirected
35222,-308059763,undirected
35222,735490998,undirected
35222,-1991999037,undirected
40046,159268026,undirected
40046,-1563969087,undirected
40046,-179971860,undirected
28881,314006290,undirected
54118,-1784543568,undirected
54118,-1456025876,undirected
54118,822574794,undirected
54118,1813962555,undirected
54118,125594343,undirected
54118,174304068,undirected
54118,2303130,undirected
7674,125594343,undirected
7674,1836996181,undirected
1530,434453139,undirected
1530,-2082634431,undirected
1530,-600542303,undirected
1530,-570808911,undirected
1530,1636956602,undirected
1530,1010497009,undirected
1530,-1579309934,undirected
407,684594450,undirected
407,2019846826,undirected
407,33397831,undirected
407,-43664692,undirected
407,-1993628914,undirected
23199,1988301924,undirected
23199,1004488410,undirected
23199,-1607117304,undirected
23199,75717441,undirected
23199,-640353766,undirected
23199,1668641251,undirected
9656,-2076890171,undirected
9656,-492332476,undirected
9656,-911763424,undirected
9656,1668641251,undirected
9656,-2032752875,undirected
9260,-1607117304,undirected
9260,-1579309934,undirected
9260,800393984,undirected
77,875903276,undirected
77,1417784817,undirected
77,-600542303,undirected
77,-83108849,undirected
77,1642580121,undirected
77,-2020601206,undirected
77,1140732589,undirected
12431,605788368,undirected
12431,1668641251,undirected
12431,2303130,undirected
12431,-2032752875,undirected
4107,-1948350991,undirected
4107,98075180,undirected
4107,-2142091587,undirected
4107,-2093312339,undirected
18179,966667162,undirected
18179,-1183682921,undirected
18179,426594028,undirected
18179,-897825408,undirected
18179,70287441,undirected
18179,1936341820,undirected
12365,125594343,undirected
12365,1836996181,undirected
51805,314006290,undirected
51805,-448409145,undirected
